Date,y,Exchange Rate,Oil,dust
2012-11-01,842189,1090.6,108.84,38
2012-12-01,834992,1083.2,107.16,37
2013-01-01,753655,1071.1,112.98,56
2013-02-01,815037,1088.9,115.55,39
2013-03-01,1010809,1081.9,110.14,49
2013-04-01,972164,1112.5,108.76,51
2013-05-01,919355,1102.2,98.34,56
2013-06-01,1059082,1126.6,101.63,40
2013-07-01,1205152,1145.3,103.19,35
2013-08-01,1358909,1119.6,109.94,36
2013-09-01,1156913,1109.6,115.49,28
2013-10-01,1087974,1075.2,107.32,30
2013-11-01,907901,1059.9,105.78,43
2013-12-01,928599,1058.9,111.49,54
2014-01-01,842671,1055.3,107.94,57
2014-02-01,886026,1071.1,106.55,57
2014-03-01,1132155,1066.2,111.26,61
2014-04-01,1251374,1066.1,105.7,57
2014-05-01,1239606,1032.2,108.63,63
2014-06-01,1273627,1020.4,109.34,38
2014-07-01,1354753,1012.1,110.84,39
2014-08-01,1454078,1026.2,103.45,29
2014-09-01,1245777,1014.9,100.21,29
2014-10-01,1317482,1054.7,94.57,34
2014-11-01,1117398,1058.8,84.9,43
2014-12-01,1086569,1105,70.87,43
2015-01-01,917054,1099.2,55.38,47
2015-02-01,1050706,1095.9,51.74,85
2015-03-01,1238144,1099.5,60.75,72
2015-04-01,1384567,1109.4,55.73,46
2015-05-01,1334212,1069.5,64.13,45
2015-06-01,750925,1107.6,62.87,34
2015-07-01,629737,1118.3,61.65,30
2015-08-01,1069314,1169.4,49.49,34
2015-09-01,1206764,1183,48.8,26
2015-10-01,1383704,1190.4,47.48,43
2015-11-01,1150074,1138.6,47.91,31
2015-12-01,1116450,1157.7,42.97,45
2016-01-01,1077431,1172,36.28,48
2016-02-01,1126250,1206.2,32.45,45
2016-03-01,1389399,1240.9,35.73,58
2016-04-01,1469674,1144.5,36.42,69
2016-05-01,1492680,1138.1,45.82,56
2016-06-01,1554413,1190.5,48.81,45
2016-07-01,1703495,1152.6,47.65,34
2016-08-01,1664303,1122.4,40.17,37
2016-09-01,1523928,1117.4,45.05,42
2016-10-01,1587797,1102,48.61,30
2016-11-01,1309055,1144.6,45.77,51
2016-12-01,1343398,1168,52.28,47
2017-01-01,1220695,1208.5,55.05,51
2017-02-01,1252080,1165.5,55.79,44
2017-03-01,1233640,1132.3,55.72,57
2017-04-01,1075899,1119.3,52.04,51
2017-05-01,977889,1133.4,50.41,54
2017-06-01,991802,1121.8,50.41,33
2017-07-01,1008671,1144,49.13,31
2017-08-01,1103506,1121.9,50.77,20
2017-09-01,1078653,1125.8,53.15,31
2017-10-01,1165638,1145.7,55.67,28
